sample_size,LR,RF,XGB,CatBoost,ANN
147,0.6549432342272076,0.5825701207328194,0.5014913672985013,0.5966228933969235,0.5767428434111904
148,0.6332750267374336,0.5603770453821135,0.5041275813516626,0.5641461692661227,0.5172069747095047
149,0.6552985599631741,0.6076525000584561,0.5471688646046462,0.6260651649485459,0.6188661539851255
150,0.6729396403575362,0.5858732998759322,0.49146687004601225,0.6063508701276474,0.6070702766474328
151,0.6469542578042435,0.5712378146073067,0.4665511799119824,0.5835705441324958,0.543313025802241
152,0.6497659340585806,0.5576482488804594,0.3792484760030317,0.5772845516513492,0.5349391453871164
153,0.6741106012886269,0.6355320889651142,0.5706400737376616,0.6393512183879462,0.5834165688613421
154,0.6736633728786205,0.6403136768583677,0.5464614952398923,0.6587224908526892,0.6123119591546068
155,0.5969169058136142,0.5552499422836439,0.42238005698894393,0.5432097231187327,0.40561551165275656
156,0.6199049324225243,0.5797247903048258,0.4572444761196553,0.5552749982716184,0.48691086371873843
157,0.6045144569937871,0.5453043092341867,0.4320513579871851,0.5354104186758223,0.4991497102998581
158,0.6273059566351892,0.5824599948278486,0.48706481143557845,0.5753762432874749,0.5642226954436463
159,0.6072584570852179,0.5495724024890185,0.40356783828526377,0.5379869451546431,0.4444576877496601
160,0.617156383455024,0.5774887570249139,0.48523080180224587,0.5719129912468085,0.5387527619869676
161,0.5948781947871954,0.558036515142544,0.4255642550572124,0.5430524620356902,0.5568724453724749
162,0.5947700404518536,0.5497142973178978,0.41670147181494244,0.5290332801492007,0.5417126115333686
163,0.589084905817902,0.5459066562505915,0.41643817622812185,0.5219496256189959,0.43676437320423533
164,0.608714421273375,0.5559293101173358,0.4173402050214171,0.5261028418891099,0.5133889977957694
165,0.6036097198759165,0.5506807843840633,0.4149278730095096,0.5344264599648346,0.47671884200857706
166,0.5941840622513668,0.5318470605128115,0.4389459560628509,0.5216073731554188,0.4661003125261849
167,0.6175164658843367,0.5592626415802819,0.43374630596397507,0.5609326861436562,0.551464492730727
168,0.6072514025337853,0.5556108010049388,0.4582250776192134,0.5438257786087257,0.4115179726756386
169,0.626564534085695,0.5604996750931931,0.45692522212901104,0.5512502641940228,0.5033516872054373
170,0.6201442532135122,0.5668496715103374,0.4412534237014881,0.5639228241930627,0.5841321495573064
171,0.6242454116905787,0.568446287512301,0.421646987113269,0.5413986118279666,0.4627772849389201
172,0.6115619537063997,0.54312360993304,0.48244173752852887,0.5589973599841184,0.45072555529963143
173,0.6104573364033892,0.5524768782281029,0.44114197348643225,0.5573657016970992,0.519851846839778
174,0.62754659058361,0.5579210839980189,0.4414075077223633,0.5581683599977649,0.5342148513971828
175,0.6165603745838987,0.5590896507896149,0.454516242192191,0.562316573831143,0.4858347461555663
176,0.6324501649044875,0.6018950770161966,0.498188522333247,0.6036539433625019,0.5327929997099004
177,0.630237103491451,0.5723980111630713,0.49321122095523473,0.5976271238255926,0.47898282975887446
178,0.6367019904430167,0.6030038732400389,0.515842136793065,0.6145645499872278,0.5560445400009011
179,0.630114006330744,0.5840723833363591,0.498884524602329,0.5933617372497788,0.48205741704281363
180,0.6491364973527511,0.5769921995754489,0.48732407278499607,0.5953280959204982,0.5541647019487381
181,0.6337187837578762,0.5806226563621015,0.4926219724648693,0.5947298120932627,0.5552259388732559
182,0.6359703004219772,0.570211408913808,0.42123112411014657,0.5815683066568476,0.602716800403095
183,0.6152296079530494,0.5511443200258155,0.44961567053313056,0.5617766060867307,0.5198904374840516
184,0.6194988673984274,0.5744643112924668,0.531095023542505,0.590629594341569,0.5680263054727603
185,0.6360986732178949,0.5612785886167886,0.49311067329383196,0.5704458356757175,0.503455527388148
186,0.6530746084128343,0.5944511352001689,0.5408755802521491,0.628515498680905,0.5757782523842954
187,0.6416368698388406,0.5924276362858792,0.5230397479851361,0.5981466624729471,0.5322666116656825
188,0.6257848280582674,0.5651382327524168,0.5006013191338475,0.5740898020322712,0.4956694902357263
189,0.6476740271719252,0.5979874148302518,0.5720075769466676,0.5949767612237364,0.5619475484993831
190,0.649505258855863,0.5912885619975945,0.5375235514111598,0.6076365373899817,0.6181878510366733
191,0.6315674902652358,0.5737296552489157,0.49521305404288823,0.5807284133427784,0.5669627193197109
192,0.6441320657521812,0.5831082252127734,0.5206104302936889,0.5917205246520203,0.5946342085844819
193,0.6377637154281912,0.5913545554409781,0.5326352877401705,0.619847898223581,0.5711325178975248
194,0.648711872554452,0.5938322906634614,0.5309025894071102,0.6076419253987166,0.5736515617126983
195,0.6585770569103603,0.6092018139480561,0.566220111767308,0.6159626790183408,0.5499723607076199
196,0.6403582633666167,0.5778268251136434,0.504223180498976,0.5908716675167164,0.5942794943677507
197,0.6053038196928975,0.563728663714419,0.4851441941904616,0.5715006263472073,0.5639113143820876
198,0.6357841058753377,0.5957781507556169,0.5280323451939665,0.5925923247559968,0.6050274438433384
199,0.6461427688471526,0.6051432572484471,0.544554929331826,0.5878198769939612,0.5588081170399212
200,0.6306229222997913,0.5717966635904435,0.5076895741345627,0.5860803205827847,0.5275298336787
201,0.6418611081416448,0.5874807395460409,0.5256614361521112,0.6000130868692904,0.5867833616273843
202,0.6654570821270109,0.6403977995940296,0.5751471021004038,0.6211032434793692,0.5629900438635221
203,0.6842400180928697,0.6362728502714541,0.5730501410343899,0.643848658720092,0.6223269182936659
204,0.6629189503812594,0.6330035036529883,0.5700033614915048,0.6392102760279863,0.47935817749041354
205,0.6356804394567336,0.6017957207754778,0.5391451449736717,0.6179724921889324,0.5640778257349626
206,0.6571791839166113,0.6211418043306989,0.5735941851579278,0.6148609387419108,0.524226775753801
207,0.6544376999729726,0.6386328349615027,0.540578210767811,0.625126021928599,0.5333546539995531
208,0.6558003020698624,0.6300928225107303,0.5450717266786682,0.6240014370858531,0.5752013655566913
209,0.6320204808317545,0.6238235538393356,0.5128662751650408,0.6141815909017031,0.5916919765793036
210,0.6458041333911759,0.6101640387174732,0.502103734416019,0.6090095407928479,0.5465045936691848
211,0.6641396713341807,0.6512463158655108,0.5667524144993842,0.6525243632117819,0.6320557559326124
212,0.6560755968837444,0.6312847908738417,0.533367023429488,0.6373796345491746,0.5964906829961246
